--step: 100
--average loss: 44.53960827418736
--average arcloss: 0.13475512447101728
--average holloss: 1.9030272651995932
--average uniloss: 0.12704714853316545
--average posloss: 2.352033723677908
--average rotloss: 0.9949508490306991
--average curloss: 0.8376690005617482
--average rsmloss: 1.1990866767508643
--average safeloss: 35.646176610674175
--average anchors: 1.3448618714298521
--step: 200
--average loss: 41.28114778654916
--average arcloss: 0.15366320657942975
--average holloss: 2.433039482150759
--average uniloss: 0.13558199336486204
--average posloss: 2.6243105275290355
--average rotloss: 1.074933998286724
--average curloss: 0.7981245554983616
--average rsmloss: 1.372710115143231
--average safeloss: 31.13992462839399
--average anchors: 1.548859110900334
--step: 300
--average loss: 36.12194456372942
--average arcloss: 0.16098716788526093
--average holloss: 2.014047405549458
--average uniloss: 0.13858469016849995
--average posloss: 2.476875283888408
--average rotloss: 1.0535619695271765
--average curloss: 0.8086147547832557
--average rsmloss: 1.380010187625885
--average safeloss: 26.577032446861267
--average anchors: 1.5122305431536265
--step: 400
--average loss: 35.71637494223459
--average arcloss: 0.18541221427065985
--average holloss: 2.0966973262173787
--average uniloss: 0.13889764714986086
--average posloss: 2.563035092183522
--average rotloss: 1.0664255150726862
--average curloss: 0.8630020692944527
--average rsmloss: 1.4326943031379156
--average safeloss: 25.83212779249464
--average anchors: 1.5380833745002747
--step: 500
--average loss: 33.284882170813425
--average arcloss: 0.17255684134683438
--average holloss: 1.9200498089194298
--average uniloss: 0.13779834511556796
--average posloss: 2.486123796020235
--average rotloss: 1.0414579255240304
--average curloss: 0.8121804169246128
--average rsmloss: 1.379140162042209
--average safeloss: 23.830310327666147
--average anchors: 1.5052647079740251
--step: 600
--average loss: 32.817850828170776
--average arcloss: 0.18139397605721438
--average holloss: 1.9278937833649772
--average uniloss: 0.137710144211139
--average posloss: 2.39823249408177
--average rotloss: 1.031082418348108
--average curloss: 0.8060318604111671
--average rsmloss: 1.3994370443480355
--average safeloss: 23.474293334143503
--average anchors: 1.4617760138852256
--step: 700
--average loss: 33.78601942743574
--average arcloss: 0.17602043013487542
--average holloss: 2.113086849451065
--average uniloss: 0.13966331391462258
--average posloss: 2.460936467562403
--average rotloss: 1.0474721470049448
--average curloss: 0.8034338094294071
--average rsmloss: 1.4133172695125853
--average safeloss: 24.151467936379568
--average anchors: 1.4806211122444697
--step: 800
--average loss: 31.93306016921997
--average arcloss: 0.17288008398775542
--average holloss: 2.070594308631761
--average uniloss: 0.14199619979730674
--average posloss: 2.5940248050859998
--average rotloss: 1.0693319152508463
--average curloss: 0.8724960046155112
--average rsmloss: 1.4501233654362815
--average safeloss: 22.019047294344222
--average anchors: 1.542566112109593
--step: 900
--average loss: 32.48320010730198
--average arcloss: 0.18890249715851887
--average holloss: 1.9933027369635445
--average uniloss: 0.1419291142374277
--average posloss: 2.6446534182344164
--average rotloss: 1.0739515934671675
--average curloss: 0.8406400733760425
--average rsmloss: 1.441639482975006
--average safeloss: 22.650091614042008
--average anchors: 1.508089350802558
--step: 1000
--average loss: 31.970982449395315
--average arcloss: 0.18468421098909207
--average holloss: 2.060347061072077
--average uniloss: 0.14150591926383121
--average posloss: 2.5997174893106734
--average rotloss: 1.0643211592520987
--average curloss: 0.8607042543590069
--average rsmloss: 1.4488384191479002
--average safeloss: 22.12182060309819
--average anchors: 1.489043374146734
--step: 1100
--average loss: 30.057485682623728
--average arcloss: 0.16994451797966445
--average holloss: 1.9090111958129066
--average uniloss: 0.1412149163495217
--average posloss: 2.523196586540767
--average rotloss: 1.0578458702989988
--average curloss: 0.8358755303280694
--average rsmloss: 1.4067163041659765
--average safeloss: 20.509867140225
--average anchors: 1.503813507301467
--step: 1200
--average loss: 31.66771742275783
--average arcloss: 0.18776340263762645
--average holloss: 1.9460075625351496
--average uniloss: 0.14154761071716035
--average posloss: 2.470645953501974
--average rotloss: 1.0494648015924863
--average curloss: 0.8560592707778726
--average rsmloss: 1.4249075246708733
--average safeloss: 22.08889295373644
--average anchors: 1.5024283741201674
--step: 1300
--average loss: 28.85277499471392
--average arcloss: 0.18578269212905849
--average holloss: 1.8288132612194334
--average uniloss: 0.14202958970729793
--average posloss: 2.5077572954552516
--average rotloss: 1.0453671174389976
--average curloss: 0.8642111676079887
--average rsmloss: 1.3818557688168116
--average safeloss: 19.40600369657789
